#x_m        ; y_m         ; vx_mps      ; psi_rad     ; kappa_radpm
-45.2227025 ; 5.9005948   ; 8.0000000   ; 2.0803970   ; -0.0074002
-45.3201200 ; 6.0752189   ; 8.0000000   ; 2.0789302   ; -0.0072707
-45.4172835 ; 6.2499843   ; 8.0000000   ; 2.0774893   ; -0.0071412
-45.5141971 ; 6.4248881   ; 8.0000000   ; 2.0760743   ; -0.0070118
-45.6108658 ; 6.5999281   ; 8.0000000   ; 2.0746851   ; -0.0068825
-45.7072931 ; 6.7751003   ; 8.0000000   ; 2.0733218   ; -0.0067533
-45.8034840 ; 6.9504032   ; 8.0000000   ; 2.0719844   ; -0.0066242
-45.8994426 ; 7.1258331   ; 8.0000000   ; 2.0706727   ; -0.0064952
-45.9951730 ; 7.3013870   ; 8.0000000   ; 2.0693868   ; -0.0063663
-46.0906804 ; 7.4770636   ; 8.0000000   ; 2.0681267   ; -0.0062374
-46.1859680 ; 7.6528582   ; 8.0000000   ; 2.0668923   ; -0.0061086
-46.2810413 ; 7.8287699   ; 8.0000000   ; 2.0656837   ; -0.0059799
-46.3759040 ; 8.0047948   ; 8.0000000   ; 2.0645008   ; -0.0058513
-46.4705603 ; 8.1809299   ; 8.0000000   ; 2.0633437   ; -0.0057228
-46.5650158 ; 8.3571747   ; 8.0000000   ; 2.0622122   ; -0.0055943
-46.6592732 ; 8.5335235   ; 8.0000000   ; 2.0611064   ; -0.0054659
-46.7533385 ; 8.7099764   ; 8.0000000   ; 2.0600263   ; -0.0053376
-46.8472152 ; 8.8865292   ; 8.0000000   ; 2.0589718   ; -0.0052094
-46.9409075 ; 9.0631788   ; 8.0000000   ; 2.0579429   ; -0.0050812
-47.0344212 ; 9.2399253   ; 8.0000000   ; 2.0569397   ; -0.0049531
-47.1277588 ; 9.4167625   ; 8.0000000   ; 2.0559621   ; -0.0048250
-47.2209265 ; 9.5936911   ; 8.0000000   ; 2.0550101   ; -0.0046971
-47.3139277 ; 9.7707066   ; 8.0000000   ; 2.0540837   ; -0.0045692
-47.4067666 ; 9.9478060   ; 8.0000000   ; 2.0531828   ; -0.0044413
-47.4994494 ; 10.1249900  ; 8.0000000   ; 2.0523075   ; -0.0043135
-47.5919781 ; 10.3022515  ; 8.0000000   ; 2.0514578   ; -0.0041858
-47.6843593 ; 10.4795922  ; 8.0000000   ; 2.0506335   ; -0.0040582
-47.7765963 ; 10.6570072  ; 8.0000000   ; 2.0498348   ; -0.0039306
-47.8686931 ; 10.8344933  ; 8.0000000   ; 2.0490616   ; -0.0038031
-47.9606563 ; 11.0120521  ; 8.0000000   ; 2.0483139   ; -0.0036756
-48.0524876 ; 11.1896757  ; 8.0000000   ; 2.0475916   ; -0.0035482
-48.1441939 ; 11.3673665  ; 8.0000000   ; 2.0468949   ; -0.0034209
-48.2357782 ; 11.5451193  ; 8.0000000   ; 2.0462236   ; -0.0032937
-48.3272447 ; 11.7229309  ; 8.0000000   ; 2.0455777   ; -0.0031664
-48.4186002 ; 11.9008034  ; 8.0000000   ; 2.0449572   ; -0.0030393
-48.5098460 ; 12.0787282  ; 8.0000000   ; 2.0443622   ; -0.0029122
-48.6009893 ; 12.2567086  ; 8.0000000   ; 2.0437926   ; -0.0027852
-48.6920331 ; 12.4347389  ; 8.0000000   ; 2.0432483   ; -0.0026583
